Effective date ,Dow Jones Commodity Index Gold TR,,,,,,,,
2013/4/30,477.71,,,,,,,,
2013/5/1,469.31,,,,,,,,
2013/5/2,476.25,,,,,,,,
2013/5/3,475.15,,,,,,,,
2013/5/6,476.38,,,,,,,,
2013/5/7,470.15,,,,,,,,
2013/5/8,478.23,,,,,,,,
2013/5/9,476.55,,,,,,,,
2013/5/10,466.16,,,,,,,,
2013/5/13,465.41,,,,,,,,
2013/5/14,462.24,,,,,,,,
2013/5/15,453.06,,,,,,,,
2013/5/16,450.05,,,,,,,,
2013/5/17,442.85,,,,,,,,
2013/5/20,449.14,,,,,,,,
2013/5/21,447,,,,,,,,
2013/5/22,443.63,,,,,,,,
2013/5/23,451.54,,,,,,,,
2013/5/24,449.82,,,,,,,,
2013/5/28,447.3,,,,,,,,
2013/5/29,451.22,,,,,,,,
2013/5/30,457.77,,,,,,,,
2013/5/31,451.61,,,,,,,,
2013/6/3,457.74,,,,,,,,
2013/6/4,452.98,,,,,,,,
2013/6/5,453.4,,,,,,,,
2013/6/6,459.01,,,,,,,,
2013/6/7,448.37,,,,,,,,
2013/6/10,449.35,,,,,,,,
2013/6/11,446.43,,,,,,,,
2013/6/12,451.29,,,,,,,,
2013/6/13,446.69,,,,,,,,
2013/6/14,449.87,,,,,,,,
2013/6/17,448.41,,,,,,,,
2013/6/18,443.16,,,,,,,,
2013/6/19,445.46,,,,,,,,
2013/6/20,417,,,,,,,,
2013/6/21,418.88,,,,,,,,
2013/6/24,414.05,,,,,,,,
2013/6/25,413.4,,,,,,,,
2013/6/26,398.72,,,,,,,,
2013/6/27,392.82,,,,,,,,
2013/6/28,396.74,,,,,,,,
2013/7/1,407.12,,,,,,,,
2013/7/2,403.13,,,,,,,,
2013/7/3,405.88,,,,,,,,
2013/7/5,393.18,,,,,,,,
2013/7/8,400.38,,,,,,,,
2013/7/9,403.94,,,,,,,,
2013/7/10,404.42,,,,,,,,
2013/7/11,414.92,,,,,,,,
2013/7/12,414.15,,,,,,,,
2013/7/15,416.03,,,,,,,,
2013/7/16,418.17,,,,,,,,
2013/7/17,413.9,,,,,,,,
2013/7/18,416.06,,,,,,,,
2013/7/19,418.82,,,,,,,,
2013/7/22,432.83,,,,,,,,
2013/7/23,432.15,,,,,,,,
2013/7/24,427.27,,,,,,,,
2013/7/25,430.31,,,,,,,,
2013/7/26,427.85,,,,,,,,
2013/7/29,430.34,,,,,,,,
2013/7/30,428.79,,,,,,,,
2013/7/31,424.97,,,,,,,,
2013/8/1,424.39,,,,,,,,
2013/8/2,424.16,,,,,,,,
2013/8/5,421.54,,,,,,,,
2013/8/6,415.1,,,,,,,,
2013/8/7,416.01,,,,,,,,
2013/8/8,423.97,,,,,,,,
2013/8/9,424.72,,,,,,,,
2013/8/12,431.84,,,,,,,,
2013/8/13,427.4,,,,,,,,
2013/8/14,431.58,,,,,,,,
2013/8/15,440.48,,,,,,,,
2013/8/16,443.75,,,,,,,,
2013/8/19,442.04,,,,,,,,
2013/8/20,444.27,,,,,,,,
2013/8/21,443.46,,,,,,,,
2013/8/22,443.69,,,,,,,,
2013/8/23,451.78,,,,,,,,
2013/8/26,450.91,,,,,,,,
2013/8/27,459.68,,,,,,,,
2013/8/28,459.23,,,,,,,,
2013/8/29,457.32,,,,,,,,
2013/8/30,451.88,,,,,,,,
2013/9/3,457.03,,,,,,,,
2013/9/4,449.91,,,,,,,,
2013/9/5,444.41,,,,,,,,
2013/9/6,448.78,,,,,,,,
2013/9/9,448.85,,,,,,,,
2013/9/10,441.5,,,,,,,,
2013/9/11,441.43,,,,,,,,
2013/9/12,430.69,,,,,,,,
2013/9/13,423.57,,,,,,,,
2013/9/16,426.55,,,,,,,,
2013/9/17,423.83,,,,,,,,
2013/9/18,423.24,,,,,,,,
2013/9/19,443.22,,,,,,,,
2013/9/20,431.3,,,,,,,,
2013/9/23,429.52,,,,,,,,
2013/9/24,426.06,,,,,,,,
2013/9/25,432.5,,,,,,,,
2013/9/26,428.59,,,,,,,,
2013/9/27,433.47,,,,,,,,
2013/9/30,429.53,,,,,,,,
2013/10/1,416.29,,,,,,,,
2013/10/2,427.49,,,,,,,,
2013/10/3,426.48,,,,,,,,
2013/10/4,423.99,,,,,,,,
2013/10/7,428.91,,,,,,,,
2013/10/8,428.75,,,,,,,,
2013/10/9,423.12,,,,,,,,
2013/10/10,419.78,,,,,,,,
2013/10/11,410.5,,,,,,,,
2013/10/14,413.22,,,,,,,,
2013/10/15,412.12,,,,,,,,
2013/10/16,415.06,,,,,,,,
2013/10/17,428.24,,,,,,,,
2013/10/18,425.52,,,,,,,,
2013/10/21,425.91,,,,,,,,
2013/10/22,434.59,,,,,,,,
2013/10/23,431.81,,,,,,,,
2013/10/24,437.08,,,,,,,,
2013/10/25,437.8,,,,,,,,
2013/10/28,437.7,,,,,,,,
2013/10/29,435.53,,,,,,,,
2013/10/30,436.76,,,,,,,,
2013/10/31,428.48,,,,,,,,
2013/11/1,425.08,,,,,,,,
2013/11/4,425.56,,,,,,,,
2013/11/5,423.43,,,,,,,,
2013/11/6,426.57,,,,,,,,
2013/11/7,423.56,,,,,,,,
2013/11/8,415.83,,,,,,,,
2013/11/11,414.7,,,,,,,,
2013/11/12,411.5,,,,,,,,
2013/11/13,410.59,,,,,,,,
2013/11/14,416.35,,,,,,,,
2013/11/15,416.68,,,,,,,,
2013/11/18,411.79,,,,,,,,
2013/11/19,412.18,,,,,,,,
2013/11/20,407.17,,,,,,,,
2013/11/21,402.45,,,,,,,,
2013/11/22,402.55,,,,,,,,
2013/11/25,401.58,,,,,,,,
2013/11/26,401.55,,,,,,,,
2013/11/27,400.38,,,,,,,,
2013/11/29,404.43,,,,,,,,
2013/12/2,395.21,,,,,,,,
2013/12/3,394.86,,,,,,,,
2013/12/4,403.4,,,,,,,,
2013/12/5,398.45,,,,,,,,
2013/12/6,397.51,,,,,,,,
2013/12/9,399.2,,,,,,,,
2013/12/10,407.9,,,,,,,,
2013/12/11,406.64,,,,,,,,
2013/12/12,396.19,,,,,,,,
2013/12/13,399.33,,,,,,,,
2013/12/16,402.5,,,,,,,,
2013/12/17,397.88,,,,,,,,
2013/12/18,399.46,,,,,,,,
2013/12/19,386.07,,,,,,,,
2013/12/20,389.34,,,,,,,,
2013/12/23,387.18,,,,,,,,
2013/12/24,389.21,,,,,,,,
2013/12/26,392.13,,,,,,,,
2013/12/27,392.68,,,,,,,,
2013/12/30,389.38,,,,,,,,
