Effective date ,Dow Jones U.S. Oil & Gas Total Return Index,,,,,,,,
2013/4/30,1085.01,,,,,,,,
2013/5/1,1067.17,,,,,,,,
2013/5/2,1080.9,,,,,,,,
2013/5/3,1101.17,,,,,,,,
2013/5/6,1107.67,,,,,,,,
2013/5/7,1115.63,,,,,,,,
2013/5/8,1117.91,,,,,,,,
2013/5/9,1116.13,,,,,,,,
2013/5/10,1111.24,,,,,,,,
2013/5/13,1110.61,,,,,,,,
2013/5/14,1124.99,,,,,,,,
2013/5/15,1122.07,,,,,,,,
2013/5/16,1116.6,,,,,,,,
2013/5/17,1134.7,,,,,,,,
2013/5/20,1149.19,,,,,,,,
2013/5/21,1148.06,,,,,,,,
2013/5/22,1133.94,,,,,,,,
2013/5/23,1131.86,,,,,,,,
2013/5/24,1127.8,,,,,,,,
2013/5/28,1139.6,,,,,,,,
2013/5/29,1137.71,,,,,,,,
2013/5/30,1134.79,,,,,,,,
2013/5/31,1112.18,,,,,,,,
2013/6/3,1122.98,,,,,,,,
2013/6/4,1114.66,,,,,,,,
2013/6/5,1102.53,,,,,,,,
2013/6/6,1111.01,,,,,,,,
2013/6/7,1124.1,,,,,,,,
2013/6/10,1120.98,,,,,,,,
2013/6/11,1104.81,,,,,,,,
2013/6/12,1094.81,,,,,,,,
2013/6/13,1113.94,,,,,,,,
2013/6/14,1103.59,,,,,,,,
2013/6/17,1118.3,,,,,,,,
2013/6/18,1124.92,,,,,,,,
2013/6/19,1113.99,,,,,,,,
2013/6/20,1082.89,,,,,,,,
2013/6/21,1085.39,,,,,,,,
2013/6/24,1069.08,,,,,,,,
2013/6/25,1081.69,,,,,,,,
2013/6/26,1089.48,,,,,,,,
2013/6/27,1091.5,,,,,,,,
2013/6/28,1089.18,,,,,,,,
2013/7/1,1095.85,,,,,,,,
2013/7/2,1098.57,,,,,,,,
2013/7/3,1099.29,,,,,,,,
2013/7/5,1112.01,,,,,,,,
2013/7/8,1119.12,,,,,,,,
2013/7/9,1131.32,,,,,,,,
2013/7/10,1124.84,,,,,,,,
2013/7/11,1134.85,,,,,,,,
2013/7/12,1139.43,,,,,,,,
2013/7/15,1138.3,,,,,,,,
2013/7/16,1131.84,,,,,,,,
2013/7/17,1136.95,,,,,,,,
2013/7/18,1148.52,,,,,,,,
2013/7/19,1164.05,,,,,,,,
2013/7/22,1161.33,,,,,,,,
2013/7/23,1163.26,,,,,,,,
2013/7/24,1151.06,,,,,,,,
2013/7/25,1157.02,,,,,,,,
2013/7/26,1152.96,,,,,,,,
2013/7/29,1143.76,,,,,,,,
2013/7/30,1141.68,,,,,,,,
2013/7/31,1145.96,,,,,,,,
2013/8/1,1161.45,,,,,,,,
2013/8/2,1155.8,,,,,,,,
2013/8/5,1152.85,,,,,,,,
2013/8/6,1146.17,,,,,,,,
2013/8/7,1141.32,,,,,,,,
2013/8/8,1147.95,,,,,,,,
2013/8/9,1144.12,,,,,,,,
2013/8/12,1138.31,,,,,,,,
2013/8/13,1140.19,,,,,,,,
2013/8/14,1135.63,,,,,,,,
2013/8/15,1129.69,,,,,,,,
2013/8/16,1125.41,,,,,,,,
2013/8/19,1108.02,,,,,,,,
2013/8/20,1113.6,,,,,,,,
2013/8/21,1107.16,,,,,,,,
2013/8/22,1122.46,,,,,,,,
2013/8/23,1130.97,,,,,,,,
2013/8/26,1128.48,,,,,,,,
2013/8/27,1120.96,,,,,,,,
2013/8/28,1140.54,,,,,,,,
2013/8/29,1128.84,,,,,,,,
2013/8/30,1127.6,,,,,,,,
2013/9/3,1134.27,,,,,,,,
2013/9/4,1140.74,,,,,,,,
2013/9/5,1144.81,,,,,,,,
2013/9/6,1145.76,,,,,,,,
2013/9/9,1157.99,,,,,,,,
2013/9/10,1158.61,,,,,,,,
2013/9/11,1167.81,,,,,,,,
2013/9/12,1161.12,,,,,,,,
2013/9/13,1161.52,,,,,,,,
2013/9/16,1161.71,,,,,,,,
2013/9/17,1167.45,,,,,,,,
2013/9/18,1181.03,,,,,,,,
2013/9/19,1178.36,,,,,,,,
2013/9/20,1168.86,,,,,,,,
2013/9/23,1163.54,,,,,,,,
2013/9/24,1164.99,,,,,,,,
2013/9/25,1165.66,,,,,,,,
2013/9/26,1166.66,,,,,,,,
2013/9/27,1163.29,,,,,,,,
2013/9/30,1154.48,,,,,,,,
2013/10/1,1162.49,,,,,,,,
2013/10/2,1165.3,,,,,,,,
2013/10/3,1156.39,,,,,,,,
2013/10/4,1166.63,,,,,,,,
2013/10/7,1157.62,,,,,,,,
2013/10/8,1144.96,,,,,,,,
2013/10/9,1140.34,,,,,,,,
2013/10/10,1161.42,,,,,,,,
2013/10/11,1173.42,,,,,,,,
2013/10/14,1181.01,,,,,,,,
2013/10/15,1176.06,,,,,,,,
2013/10/16,1192.73,,,,,,,,
2013/10/17,1196.09,,,,,,,,
2013/10/18,1208.04,,,,,,,,
2013/10/21,1202.83,,,,,,,,
2013/10/22,1209.63,,,,,,,,
2013/10/23,1192.22,,,,,,,,
