Effective date ,S&P U.S. Treasury Bond Index
2013/4/30,402.21
2013/5/1,402.78
2013/5/2,402.79
2013/5/3,401.34
2013/5/6,401.15
2013/5/7,400.93
2013/5/8,401.01
2013/5/9,400.96
2013/5/10,400.09
2013/5/13,399.72
2013/5/14,399.15
2013/5/15,399.51
2013/5/16,400.28
2013/5/17,399.47
2013/5/20,399.38
2013/5/21,399.79
2013/5/22,398.66
2013/5/23,398.84
2013/5/24,398.92
2013/5/28,397.03
2013/5/29,397.57
2013/5/30,397.54
2013/5/31,397.21
2013/6/3,397.49
2013/6/4,397.04
2013/6/5,397.77
2013/6/6,397.84
2013/6/7,396.62
2013/6/10,396.22
2013/6/11,396.62
2013/6/12,395.88
2013/6/13,397.05
2013/6/14,397.36
2013/6/17,397.06
2013/6/18,397.01
2013/6/19,395.1
2013/6/20,394.25
2013/6/21,392.66
2013/6/24,392.33
2013/6/25,392.07
2013/6/26,392.72
2013/6/27,393.59
2013/6/28,393.62
2013/7/1,393.82
2013/7/2,393.85
2013/7/3,393.51
2013/7/5,391.16
2013/7/8,392.02
2013/7/9,392.19
2013/7/10,391.71
2013/7/11,393.16
2013/7/12,392.97
2013/7/15,393.41
2013/7/16,393.61
2013/7/17,394.16
2013/7/18,393.52
2013/7/19,394.37
2013/7/22,394.42
2013/7/23,394.18
2013/7/24,393.27
2013/7/25,393.51
2013/7/26,393.77
2013/7/29,393.5
2013/7/30,393.41
2013/7/31,393.58
2013/8/1,392.18
2013/8/2,393.51
2013/8/5,393.08
2013/8/6,393.12
2013/8/7,393.57
2013/8/8,393.75
2013/8/9,393.85
2013/8/12,393.52
2013/8/13,392.3
2013/8/14,392.37
2013/8/15,391.58
2013/8/16,391.13
2013/8/19,390.56
2013/8/20,391.26
2013/8/21,390.29
2013/8/22,390.16
2013/8/23,390.96
2013/8/26,391.41
2013/8/27,392.25
2013/8/28,391.59
2013/8/29,391.89
2013/8/30,391.74
2013/9/3,390.83
2013/9/4,390.23
2013/9/5,388.93
2013/9/6,389.86
2013/9/9,390.25
2013/9/10,389.6
2013/9/11,390.37
2013/9/12,390.41
2013/9/13,390.62
2013/9/16,391.63
2013/9/17,391.41
2013/9/18,393.12
2013/9/19,392.67
2013/9/20,392.86
2013/9/23,393.29
2013/9/24,393.85
2013/9/25,394.21
2013/9/26,393.87
2013/9/27,394.19
2013/9/30,394.34
2013/10/1,393.98
2013/10/2,394.32
2013/10/3,394.41
2013/10/4,394.02
2013/10/7,394.16
2013/10/8,393.91
2013/10/9,393.69
2013/10/10,393.63
2013/10/11,393.78
2013/10/15,393.37
2013/10/16,394.16
2013/10/17,394.96
2013/10/18,395.03
2013/10/21,394.85
2013/10/22,395.78
2013/10/23,395.97
2013/10/24,395.73
2013/10/25,395.99
2013/10/28,395.87
2013/10/29,396.05
2013/10/30,395.73
2013/10/31,395.68
2013/11/1,394.95
2013/11/4,395.18
2013/11/5,394.58
2013/11/6,394.98
2013/11/7,395.44
2013/11/8,393.86
2013/11/12,393.61
2013/11/13,394.16
2013/11/14,394.88
2013/11/15,394.86
2013/11/18,395.36
2013/11/19,394.79
2013/11/20,394.12
2013/11/21,394.24
2013/11/22,394.62
2013/11/25,394.79
2013/11/26,395.12
2013/11/27,394.94
2013/11/29,394.89
2013/12/2,394.32
2013/12/3,394.58
2013/12/4,393.98
2013/12/5,393.63
2013/12/6,393.71
2013/12/9,393.8
2013/12/10,394.37
2013/12/11,393.85
2013/12/12,393.4
2013/12/13,393.56
2013/12/16,393.49
2013/12/17,393.92
2013/12/18,393.55
2013/12/19,392.97
2013/12/20,393.24
2013/12/23,392.86
2013/12/24,392.26
2013/12/26,392.12
2013/12/27,392.1
2013/12/30,392.54
2013/12/31,391.99
2014/1/2,392.46
2014/1/3,392.33
2014/1/6,392.72
2014/1/7,392.9
2014/1/8,392.15
2014/1/9,392.49
2014/1/10,393.82
2014/1/13,394.29
2014/1/14,393.7
2014/1/15,393.46
2014/1/16,393.93
2014/1/17,394.22
2014/1/21,394.08
2014/1/22,393.67
2014/1/23,394.81
2014/1/24,395.38
2014/1/27,394.92
2014/1/28,395.19
2014/1/29,395.89
2014/1/30,395.75
2014/1/31,396.3
2014/2/3,397.23
2014/2/4,396.72
2014/2/5,396.18
2014/2/6,395.85
2014/2/7,396.24
2014/2/10,396.32
2014/2/11,395.69
2014/2/12,395.26
2014/2/13,395.99
2014/2/14,395.92
2014/2/18,396.33
2014/2/19,396.01
2014/2/20,395.73
2014/2/21,395.97
2014/2/24,395.78
2014/2/25,396.37
2014/2/26,396.79
2014/2/27,397.09
2014/2/28,396.93
2014/3/3,397.63
2014/3/4,396.52
2014/3/5,396.62
2014/3/6,396.01
2014/3/7,395.29
2014/3/10,395.44
2014/3/11,395.59
2014/3/12,396.09
2014/3/13,397.05
2014/3/14,397.01
2014/3/17,396.43
2014/3/18,396.78
2014/3/19,395.23
2014/3/20,395.18
2014/3/21,395.5
2014/3/24,395.57
2014/3/25,395.48
2014/3/26,396.17
2014/3/27,396.29
2014/3/28,395.85
2014/3/31,395.96
2014/4/1,395.58
2014/4/2,394.96
2014/4/3,395.1
2014/4/4,396.01
2014/4/7,396.45
2014/4/8,396.63
2014/4/9,396.78
2014/4/10,397.44
2014/4/11,397.84
2014/4/14,397.48
2014/4/15,397.64
2014/4/16,397.38
2014/4/17,396.41
2014/4/21,396.55
2014/4/22,396.49
2014/4/23,396.91
2014/4/24,396.94
2014/4/25,397.15
2014/4/28,396.88
2014/4/29,396.94
2014/4/30,397.48
2014/5/1,397.96
2014/5/2,398.08
2014/5/5,398.1
2014/5/6,398.04
2014/5/7,398.18
2014/5/8,398.34
2014/5/9,398.26
2014/5/12,397.88
2014/5/13,398.46
2014/5/14,399.26
2014/5/15,399.76
2014/5/16,399.53
2014/5/19,399.38
2014/5/20,399.75
2014/5/21,399.43
2014/5/22,399.24
2014/5/23,399.51
2014/5/27,399.78
2014/5/28,400.63
2014/5/29,400.33
2014/5/30,400.15
2014/6/2,399.49
2014/6/3,398.74
2014/6/4,398.66
2014/6/5,398.91
2014/6/6,398.71
2014/6/9,398.42
2014/6/10,398.07
2014/6/11,398.26
2014/6/12,398.9
2014/6/13,398.57
2014/6/16,398.54
2014/6/17,397.89
2014/6/18,398.63
2014/6/19,398.26
2014/6/20,398.48
2014/6/23,398.32
2014/6/24,398.92
2014/6/25,399.16
2014/6/26,399.63
2014/6/27,399.64
2014/6/30,399.81
2014/7/1,399.28
2014/7/2,398.53
2014/7/3,398.22
2014/7/7,398.45
2014/7/8,399.1
2014/7/9,399.27
2014/7/10,399.57
2014/7/11,399.91
2014/7/14,399.54
2014/7/15,399.3
2014/7/16,399.43
2014/7/17,400.41
2014/7/18,400.02
2014/7/21,400.08
2014/7/22,400.33
2014/7/23,400.36
2014/7/24,399.69
2014/7/25,400.27
2014/7/28,400.07
2014/7/29,400.29
2014/7/30,399.27
2014/7/31,399.28
2014/8/1,400.34
2014/8/4,400.39
2014/8/5,400.45
2014/8/6,400.6
2014/8/7,401.28
2014/8/8,401.12
2014/8/11,401.09
2014/8/12,400.85
2014/8/13,401.41
2014/8/14,401.77
2014/8/15,402.37
2014/8/18,401.81
2014/8/19,401.65
2014/8/20,401.1
2014/8/21,401.4
2014/8/22,401.41
2014/8/25,401.48
2014/8/26,401.51
2014/8/27,401.95
2014/8/28,402.33
2014/8/29,402.37
2014/9/2,401.34
2014/9/3,401.59
2014/9/4,400.97
2014/9/5,401.11
2014/9/8,400.87
2014/9/9,400.51
2014/9/10,400.09
2014/9/11,399.95
2014/9/12,399.39
2014/9/15,399.7
2014/9/16,399.68
2014/9/17,399.18
2014/9/18,399.17
2014/9/19,399.75
2014/9/22,400.16
2014/9/23,400.49
2014/9/24,400.08
2014/9/25,400.92
2014/9/26,400.55
2014/9/29,401.06
2014/9/30,400.81
2014/10/1,402.34
2014/10/2,401.82
2014/10/3,401.71
2014/10/6,402.06
2014/10/7,403.1
2014/10/8,403.83
2014/10/9,403.51
2014/10/10,404.14
2014/10/14,405.44
2014/10/15,406.55
2014/10/16,406.05
2014/10/17,405.48
2014/10/20,405.82
2014/10/21,405.39
2014/10/22,405.32
2014/10/23,404.57
2014/10/24,404.67
2014/10/27,404.84
2014/10/28,404.43
2014/10/29,403.8
2014/10/30,403.98
2014/10/31,403.65
2014/11/3,403.55
2014/11/4,403.66
2014/11/5,403.65
2014/11/6,403.1
2014/11/7,404.19
2014/11/10,403.45
2014/11/12,403.42
2014/11/13,403.72
2014/11/14,404.1
2014/11/17,403.92
2014/11/18,404.13
2014/11/19,403.68
2014/11/20,404.01
2014/11/21,404.42
2014/11/24,404.56
2014/11/25,405.08
2014/11/26,405.38
2014/11/28,406.38
2014/12/1,405.79
2014/12/2,404.85
2014/12/3,404.85
2014/12/4,405.41
2014/12/5,404.28
2014/12/8,404.84
2014/12/9,405.42
2014/12/10,405.83
2014/12/11,405.96
2014/12/12,407.34
2014/12/15,406.79
2014/12/16,407.66
2014/12/17,406.51
2014/12/18,405.49
2014/12/19,405.96
2014/12/22,405.99
2014/12/23,404.58
2014/12/24,404.72
2014/12/26,404.94
2014/12/29,405.58
2014/12/30,405.95
2014/12/31,406.3
2015/1/2,407.08
2015/1/5,408.1
2015/1/6,409.44
2015/1/7,409.51
2015/1/8,408.82
2015/1/9,409.76
2015/1/12,410.47
2015/1/13,410.7
2015/1/14,411.51
2015/1/15,413.2
2015/1/16,411.81
2015/1/20,412.33
2015/1/21,411.52
2015/1/22,411.02
2015/1/23,412.15
2015/1/26,411.74
2015/1/27,412
2015/1/28,413.37
2015/1/29,412.85
2015/1/30,414.51
2015/2/2,414.2
2015/2/3,412.52
2015/2/4,412.79
2015/2/5,412.07
2015/2/6,409.72
2015/2/9,409.59
2015/2/10,409.08
2015/2/11,409.05
2015/2/12,409.18
2015/2/13,408.56
2015/2/17,407.32
2015/2/18,408.2
2015/2/19,407.73
2015/2/20,407.6
2015/2/23,408.48
2015/2/24,409.75
2015/2/25,410.04
2015/2/26,408.81
2015/2/27,409.51
2015/3/2,408.13
2015/3/3,407.7
2015/3/4,407.91
2015/3/5,408.04
2015/3/6,406.01
2015/3/9,406.82
2015/3/10,407.72
2015/3/11,408.09
2015/3/12,408.26
2015/3/13,408.08
2015/3/16,408.72
2015/3/17,409.08
2015/3/18,411.41
2015/3/19,410.45
2015/3/20,411.26
2015/3/23,411.41
2015/3/24,412.08
2015/3/25,411.36
2015/3/26,410.24
2015/3/27,411.09
2015/3/30,411.04
2015/3/31,411.52
2015/4/1,412.54
2015/4/2,411.85
2015/4/3,413.1
2015/4/6,412.15
2015/4/7,412.34
2015/4/8,412.2
2015/4/9,411.28
2015/4/10,411.27
2015/4/13,411.62
2015/4/14,412.2
2015/4/15,412.34
2015/4/16,412.39
2015/4/17,412.78
2015/4/20,412.29
