Effective date ,Consumer Discretionary Select Sector Index TR,Consumer Staples Select Sector Index TR,Energy Select Sector Index TR,Financial Select Sector Index TR,Health Care Select Sector Index TR,Industrial Select Sector Index TR,Materials Select Sector Index TR,Real Estate Select Sector Index TR,Technology Select Sector Index TR,Utilities Select Sector Index TR,Communication Services Select Sector Index TR,S&P 500 (TR)
2013/4/30,1530.73,1515.85,1148.32,1201.5,1574.32,1218.21,1101.14,137.57,1241.61,1439.01,148.7,2823.42
2013/5/1,1523.48,1513.28,1128.79,1188.5,1558.78,1203.15,1081.67,136.88,1231.4,1425.16,148.22,2797.28
2013/5/2,1538.05,1519.11,1144.43,1198.4,1575.49,1217.63,1089.2,137.51,1246.64,1422.78,149.61,2823.82
2013/5/3,1557.66,1526.12,1165.66,1210.93,1586.03,1238.92,1109.06,137.78,1258.76,1420.89,150.54,2853.88
2013/5/6,1561.92,1514.38,1173.15,1223.46,1576.03,1246.07,1111.79,138.25,1264.06,1400.74,150.77,2859.34
2013/5/7,1574.24,1526.5,1181.78,1230.57,1580.38,1258.04,1121.93,138.86,1263.56,1413.78,152.19,2874.46
2013/5/8,1577.16,1528,1183.86,1240.02,1585.75,1266.24,1131.87,138.86,1273.68,1401.93,153.3,2887.61
2013/5/9,1579.13,1516.95,1182.48,1230.53,1587.37,1265.86,1130.31,138.03,1269.24,1379.7,153.24,2878.3
2013/5/10,1591.98,1523.85,1177.37,1236.28,1604.61,1269.85,1130.02,138.48,1274.52,1383.43,154.27,2890.77
2013/5/13,1592.11,1526.43,1176.95,1240.56,1616,1265.39,1121.91,138.82,1270.1,1376.42,153.78,2891.17
2013/5/14,1608.21,1543.72,1192.71,1261.73,1632.38,1280.33,1135.08,139.73,1274.86,1385.75,155.12,2921.12
2013/5/15,1617.31,1559.86,1189.98,1273.95,1641.22,1286.07,1141.78,141.18,1278.66,1398.49,157.01,2936.98
2013/5/16,1598.73,1549.72,1183.66,1264.81,1624.4,1279.96,1136.18,140.19,1285.19,1387.05,155.21,2922.4
2013/5/17,1614.8,1552.28,1204.51,1282.05,1633.56,1299.06,1150.25,141.35,1298.68,1401.11,156.06,2952.56
2013/5/20,1608.53,1537.46,1221.11,1284.5,1622.87,1302.91,1150.25,141.42,1297.4,1394.72,155.04,2950.53
2013/5/21,1615.96,1537.61,1219.15,1287.76,1639.65,1304.23,1148.13,142.42,1293.98,1396.26,154.96,2955.69
2013/5/22,1601.21,1534.86,1204.36,1274.22,1639.08,1292.98,1133.79,139.11,1280.39,1373.35,153.08,2931.58
2013/5/23,1596.16,1528.99,1202.61,1266.01,1638.65,1288.64,1132.65,136.79,1279.85,1362.97,152.99,2923.43
2013/5/24,1593.13,1543.51,1197.41,1267.77,1634.99,1285.57,1129.52,136.48,1278.49,1349.05,152.58,2921.88
2013/5/28,1607.72,1545.38,1209.96,1280.7,1649.79,1292.37,1139.55,135.38,1283.63,1333.13,152.57,2940.45
2013/5/29,1592.31,1516.25,1207.42,1281.16,1624.98,1285.14,1136.33,132.48,1280.15,1313.06,150.55,2920.18
2013/5/30,1590.98,1510.35,1204.56,1294.96,1636.17,1292.19,1139.01,131.03,1287.97,1316.56,150.17,2931.39
2013/5/31,1573.67,1482.28,1180.04,1274.67,1600.73,1279.71,1121.71,129.31,1276.15,1308.73,148.26,2889.46
2013/6/3,1582.15,1498.27,1191.51,1276.68,1609.44,1286.48,1127.99,130.22,1283.81,1311.35,148.51,2906.91
2013/6/4,1574.98,1498.65,1181.67,1265.14,1598.27,1278.29,1126.01,128.56,1278,1305.88,148.74,2891.02
2013/6/5,1549.67,1481.32,1168.53,1243.85,1576.52,1257.11,1102.44,126.96,1265.03,1295.03,146.94,2851.89
2013/6/6,1565.44,1488.39,1177.74,1261.95,1599.05,1265.33,1108.91,129.35,1269.53,1311.26,148.71,2876.5
2013/6/7,1593.81,1507.19,1191.78,1283.21,1614.32,1287.45,1118.66,129.71,1280.65,1320.69,150.12,2913.46
2013/6/10,1588.91,1505.99,1188.57,1284.28,1616.61,1283.68,1124.2,128.13,1282.52,1318.2,150.25,2912.63
2013/6/11,1573.77,1501.39,1170.19,1261.97,1609.37,1272.5,1108.78,126.25,1269.16,1309.77,149.05,2883.07
2013/6/12,1556.91,1494.88,1162.4,1250.02,1593.3,1262.83,1103,124.43,1259.71,1295.88,147.38,2859.62
2013/6/13,1584.52,1509.62,1182.94,1272.63,1617.69,1280.74,1122.49,128.01,1274.96,1317.84,150.14,2902.32
2013/6/14,1580.48,1506.34,1171.2,1256.72,1615.22,1274.98,1115.46,128.23,1266.17,1319.24,150.25,2885.24
2013/6/17,1588.68,1518.71,1187.83,1268.7,1618.92,1282.66,1123.82,128.86,1277.56,1323.52,150.69,2907.12
2013/6/18,1605.02,1525.5,1195.11,1276.6,1632.79,1298.48,1129.47,128.97,1287.74,1333.1,152.66,2929.81
2013/6/19,1587.32,1495.34,1183.06,1258.8,1606.75,1280.08,1121.01,124.65,1271.87,1302.4,150.57,2889.25
2013/6/20,1545.04,1449.7,1149.35,1231.77,1565.61,1250.74,1091.8,119.44,1243.68,1265.04,146.87,2817.44
2013/6/21,1549.13,1469.77,1151.86,1233.53,1579.07,1250.8,1088.77,121.64,1236.86,1281.76,147.56,2824.97
2013/6/24,1534.04,1462.7,1134.27,1211.27,1567.2,1229.68,1070.57,121.01,1221.14,1281.45,146.14,2790.66
2013/6/25,1547.82,1465.13,1148.14,1234.07,1573.82,1243.09,1077.97,123.35,1231.91,1297.21,147.6,2817.44
2013/6/26,1567.65,1480.15,1156.05,1246.34,1597.58,1256.81,1082.27,124.97,1238.83,1314.52,149.14,2845.04
2013/6/27,1581.85,1486.7,1157.89,1262.23,1603.13,1268.54,1081.38,127.1,1244.9,1316.43,150.49,2862.92
2013/6/28,1587.35,1477.76,1154.35,1253.64,1589.62,1260.78,1075.21,126.25,1239.23,1321.28,150.71,2850.66
2013/7/1,1598.24,1488.83,1161.47,1259.76,1596.56,1272.28,1083.39,125.39,1246.72,1303.94,151.24,2866.41
2013/7/2,1601.36,1491.32,1164.09,1261.1,1592.28,1259.55,1080.21,127.4,1249.12,1303.19,151.32,2865.48
2013/7/3,1609.31,1487.87,1164.08,1256.79,1590.24,1260.8,1079.63,126.11,1255.98,1301.22,152.51,2867.85
2013/7/5,1625.89,1491.08,1177.26,1278.92,1611.19,1279.68,1087.02,125.91,1264.46,1294.93,153.84,2897.12
2013/7/8,1640.48,1505.77,1185.23,1288.64,1620.33,1283.41,1093.12,126.11,1263.12,1313.54,154.91,2913.2
2013/7/9,1647.57,1517.81,1197.97,1299.49,1624.7,1302.27,1110.38,127.9,1267.82,1323.47,155.2,2934.31
